text_form
о
а
и
у
э
ах
ох
эге
эй
ага
ура
чу
брысь
стоп
ха
спасибо
пожалуйста
здравствуйте
привет
пока
да
нет
ух
эх
ай
ой
гм
уф
увы
ого
вали
кис
уть
цып
брр
тьфу
фу
фи
мяу
кукареку
бах
бац
бух
браво
шш
гуль
