text_form,conj_type
а,s
и,s
но,s
да,s
чтобы,p
хотя,p
хоть,p
ибо,p
потому,p
оттого,p
ввиду,p
благодаря,p
связи,p
даром,p
так,p
несмотря,p
вследствие,p
силу,p
то,s
едва,p
лишь,p
чуть,p
же,s
или,s
иль,s
также,s
однако,s
зато,s
ан,s
либо,s
али,s
аль,s
благо,p
дабы,p
если,p
раз,p
ли,p
коль,p
ежели,p
коли,p
кабы,p
бы,p
б,p
буде,p
будто,p
чем,p
нежели,p
пока,p
покамест,p
покуда,p
покудова,p
что,p
